columna,rol,dtype,nulos,valores_unicos
cliente_id,trazabilidad,str,0,200
monto_mean,feature_clustering,float64,0,200
monto_max,feature_clustering,float64,0,200
condicion_dias_mean,feature_clustering,float64,0,192
condicion_dias_max,feature_clustering,int64,0,2
antiguedad_meses_mean,feature_clustering,float64,0,66
antiguedad_meses_max,feature_clustering,int64,0,66
mora_promedio_hist_mean,feature_clustering,float64,0,192
mora_promedio_hist_max,feature_clustering,float64,0,181
mora_ultimo_tramo_mean,feature_clustering,float64,0,189
mora_ultimo_tramo_max,feature_clustering,float64,0,132
monto_promedio_hist_mean,feature_clustering,float64,0,200
monto_promedio_hist_max,feature_clustering,float64,0,200
ratio_monto_mean,feature_clustering,float64,0,200
ratio_monto_max,feature_clustering,float64,0,200
dias_desde_ultima_gestion_mean,feature_clustering,float64,0,199
dias_desde_ultima_gestion_max,feature_clustering,float64,0,66
dias_hasta_vence_mean,feature_clustering,float64,0,200
dias_hasta_vence_max,feature_clustering,int64,0,2
dias_mora_observable_mean,feature_clustering,float64,0,194
dias_mora_observable_max,feature_clustering,int64,0,88
dias_hasta_vence_pos_mean,feature_clustering,float64,0,200
dias_hasta_vence_pos_max,feature_clustering,int64,0,2
intensidad_gestion_mean,feature_clustering,float64,0,200
intensidad_gestion_max,feature_clustering,float64,0,28
friccion_contacto_mean,feature_clustering,float64,0,194
friccion_contacto_max,feature_clustering,float64,0,3
tasa_cumplimiento_mean,feature_clustering,float64,0,191
tasa_contacto_cliente_mean,feature_clustering,float64,0,200
tasa_cumpl_promesas_mean,feature_clustering,float64,0,145
ratio_promesas_rotas_mean,feature_clustering,float64,0,145
num_facturas_prev_sum,feature_clustering,int64,0,196
num_facturas_prev_mean,feature_clustering,float64,0,198
moras_consecutivas_sum,feature_clustering,int64,0,43
moras_consecutivas_mean,feature_clustering,float64,0,96
num_gestiones_factura_sum,feature_clustering,int64,0,163
num_gestiones_factura_mean,feature_clustering,float64,0,197
num_no_contesta_cons_sum,feature_clustering,int64,0,100
num_no_contesta_cons_mean,feature_clustering,float64,0,183
num_promesas_rotas_sum,feature_clustering,int64,0,127
num_promesas_rotas_mean,feature_clustering,float64,0,145
promesas_total_sum,feature_clustering,int64,0,160
promesas_total_mean,feature_clustering,float64,0,186
tiene_disputa_activa_mean,feature_clustering,float64,0,149
tiene_promesa_activa_mean,feature_clustering,float64,0,168
sin_gestion_previa_mean,feature_clustering,float64,0,180
esta_vencida_al_corte_mean,feature_clustering,float64,0,185
cliente_nuevo_mean,feature_clustering,float64,0,157
n_facturas_total,feature_clustering,int64,0,45
n_cortes_total,feature_clustering,int64,0,129
sector_dominante_modal,perfil_interpretativo,str,0,8
