escenario,tamano_lote,latencia_total_s,latencia_ms_por_reg,throughput_reg_s,workers,corridas,p95_duracion_batch_s
latencia_lote_1,1,0.00460790004581213,4.60790004581213,217.01859633627376,,,
latencia_lote_10,10,0.0033358000218868256,0.33358000218868256,2997.781621916205,,,
latencia_lote_100,100,0.003958700108341873,0.03958700108341873,25260.81725394593,,,
latencia_lote_1000,1000,0.003960900008678436,0.003960900008678436,252467.87290993804,,,
latencia_lote_3936,3936,0.007042099954560399,0.0017891514112196136,558924.1881537172,,,
concurrencia_1_workers,250,0.015947600011713803,0.015947600011713803,62705.3600081192,1.0,4.0,0.0038639450445771216
concurrencia_2_workers,250,0.03358230006415397,0.016791150032076985,59555.18222930826,2.0,8.0,0.014247264974983409
concurrencia_4_workers,250,0.06820099998731166,0.017050249996827915,58650.16643075868,4.0,16.0,0.022209575050510466
concurrencia_8_workers,250,0.13476569997146726,0.016845712496433407,59362.285816745425,8.0,32.0,0.05357045001001097
