escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_+90,f1_+90,latencia_total_s,latencia_ms_por_reg,n_registros,n_invalidas,degradacion_f1_macro_pct,f1_+30,rec_+30,f1_+60,rec_+60,rec_+90,f1_on_time,rec_on_time,degradacion_balanced_accuracy_pct,degradacion_recall_macro_pct,degradacion_accuracy_pct,n_facturas_train_temporal,n_facturas_test_temporal,interseccion_factura_id,sector,n_registros_sector
drift_temporal_factura_pasado_vs_futuro,0.5272,0.585,0.533,0.522,0.5662,0.585,0.3791,0.5321,0.257,0.0234,11007,0,1.2,0.3965,0.4035,0.5171,0.6302,0.3791,0.6863,0.9272,-4.99,-4.99,1.99,2669.0,2669.0,0.0,,
drift_sector_retail,0.5299,0.5369,0.5076,0.5273,0.5027,0.5369,0.4348,0.3226,0.0168,0.0456,368,0,5.91,0.4722,0.4857,0.4471,0.3701,0.4348,0.7887,0.8571,3.64,3.64,1.49,,,,retail,368.0
drift_sector_manufactura,0.5495,0.5746,0.5527,0.5368,0.5473,0.5746,0.6226,0.5829,0.0234,0.0318,737,0,-2.45,0.4206,0.3732,0.4433,0.4,0.6226,0.764,0.9027,-3.12,-3.12,-2.16,,,,manufactura,737.0
drift_sector_servicios,0.5435,0.5642,0.5494,0.5368,0.5473,0.5642,0.4474,0.5191,0.0147,0.0532,276,0,-1.84,0.3186,0.3273,0.5078,0.5213,0.4474,0.8522,0.9608,-1.26,-1.26,-1.04,,,,servicios,276.0
drift_sector_construccion,0.5437,0.5441,0.5287,0.5435,0.5202,0.5441,0.5887,0.6253,0.0233,0.034,686,0,2.0,0.3318,0.3274,0.5295,0.5372,0.5887,0.6283,0.7229,2.35,2.35,-1.08,,,,construccion,686.0
drift_sector_agro,0.5011,0.4977,0.4743,0.4805,0.4677,0.4977,0.5793,0.5706,0.0177,0.0404,439,0,12.09,0.2982,0.25,0.2478,0.2314,0.5793,0.7805,0.9302,10.68,10.68,6.84,,,,agro,439.0
drift_sector_tecnologia,0.5348,0.5252,0.5174,0.535,0.5374,0.5252,0.6102,0.6261,0.0144,0.0455,316,0,4.1,0.4348,0.3378,0.2621,0.3115,0.6102,0.7465,0.8413,5.74,5.74,0.58,,,,tecnologia,316.0
drift_sector_salud,0.5448,0.5594,0.5495,0.5415,0.568,0.5594,0.4453,0.5596,0.0217,0.0413,525,0,-1.85,0.4385,0.4453,0.5167,0.5414,0.4453,0.6831,0.8058,-0.39,-0.39,-1.28,,,,salud,525.0
drift_sector_transporte,0.5416,0.5684,0.5344,0.5321,0.5286,0.5684,0.5804,0.6091,0.0227,0.0385,589,0,0.95,0.3515,0.2871,0.4176,0.4465,0.5804,0.7594,0.9595,-2.01,-2.01,-0.69,,,,transporte,589.0
drift_cartera_critica_q75,0.5965,0.3629,0.3684,0.5848,0.3787,0.3629,0.7526,0.7079,0.0282,0.0287,984,0,31.71,0.3194,0.2875,0.4463,0.4116,0.7526,0.0,0.0,34.87,34.87,-10.89,,,,,
