escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_+90,f1_+90,latencia_total_s,latencia_ms_por_reg,n_registros,n_invalidas,degradacion_f1_macro_pct,f1_+30,rec_+30,f1_+60,rec_+60,rec_+90,f1_on_time,rec_on_time,degradacion_balanced_accuracy_pct,degradacion_recall_macro_pct,degradacion_accuracy_pct
ruido_bajo_5pct,0.5389,0.56,0.5426,0.5323,0.5339,0.56,0.5503,0.5774,0.097,0.0246,3936,0,-0.57,0.405,0.3848,0.4478,0.4435,0.5503,0.7401,0.8614,-0.5,-0.5,-0.19
ruido_medio_10pct,0.5368,0.5534,0.5379,0.531,0.5307,0.5534,0.5557,0.5866,0.0955,0.0243,3936,0,0.3,0.3776,0.3542,0.4551,0.46,0.5557,0.7322,0.8435,0.68,0.68,0.2
ruido_alto_20pct,0.5264,0.5366,0.522,0.5193,0.517,0.5366,0.5573,0.5847,0.098,0.0249,3936,0,3.24,0.3323,0.2956,0.4574,0.474,0.5573,0.7134,0.8197,3.7,3.7,2.14
missing_bajo_5pct,0.5231,0.5355,0.5264,0.5205,0.521,0.5355,0.5496,0.5771,0.1084,0.0276,3936,0,2.43,0.3785,0.3662,0.4465,0.4542,0.5496,0.7033,0.772,3.89,3.89,2.75
missing_medio_15pct,0.4921,0.4948,0.498,0.4974,0.5062,0.4948,0.5088,0.5605,0.1007,0.0256,3936,0,7.69,0.3752,0.3981,0.4393,0.4732,0.5088,0.617,0.5991,11.2,11.2,8.51
missing_alto_30pct,0.4599,0.4511,0.4604,0.4681,0.5049,0.4511,0.4404,0.5293,0.1045,0.0266,3936,0,14.66,0.3732,0.4381,0.4493,0.5293,0.4404,0.4899,0.3964,19.04,19.04,14.5
missing_dirigido_gestion,0.4022,0.3454,0.3223,0.3671,0.3146,0.3454,0.5926,0.5595,0.1039,0.0264,3936,0,40.26,0.3634,0.3142,0.3662,0.4749,0.5926,0.0,0.0,38.01,38.01,25.23
missing_dirigido_promesas,0.5325,0.5511,0.5344,0.5276,0.5316,0.5511,0.5065,0.5693,0.1229,0.0312,3936,0,0.95,0.3716,0.3489,0.4684,0.4979,0.5065,0.7283,0.851,1.09,1.09,1.0
missing_dirigido_historico,0.5168,0.513,0.5176,0.5204,0.578,0.513,0.4166,0.5608,0.0991,0.0252,3936,0,4.06,0.3805,0.3582,0.5081,0.6752,0.4166,0.6211,0.6021,7.93,7.93,3.92
outlier_monto_3x_5pct,0.5386,0.5588,0.5406,0.5306,0.5318,0.5588,0.5642,0.58,0.0977,0.0248,3936,0,-0.2,0.3948,0.3675,0.4436,0.4345,0.5642,0.7441,0.8689,-0.29,-0.29,-0.13
outlier_monto_5x_5pct,0.5391,0.5593,0.5412,0.5311,0.5323,0.5593,0.5657,0.5811,0.1045,0.0265,3936,0,-0.32,0.3957,0.3688,0.4433,0.4336,0.5657,0.7446,0.8689,-0.38,-0.38,-0.22
outlier_monto_10x_5pct,0.5407,0.5608,0.5428,0.5329,0.5338,0.5608,0.5657,0.5825,0.0982,0.0249,3936,0,-0.61,0.3991,0.3742,0.4462,0.4361,0.5657,0.7433,0.8674,-0.65,-0.65,-0.52
outlier_monto_5x_10pct,0.5384,0.5589,0.5409,0.5305,0.5318,0.5589,0.565,0.5803,0.103,0.0262,3936,0,-0.26,0.398,0.3728,0.4409,0.4303,0.565,0.7442,0.8674,-0.31,-0.31,-0.09
outlier_critico_combinado,0.5348,0.5489,0.5363,0.5293,0.5306,0.5489,0.5596,0.5815,0.1082,0.0275,3936,0,0.59,0.3832,0.3529,0.4554,0.4633,0.5596,0.7251,0.8197,1.49,1.49,0.58
