escenario,tipo_riesgo,metrica_afectada,severidad,causa_probable,impacto_negocio,accion_mitigacion
Ruido Gaussiano Alto (20%),Calidad de Datos,"F1-macro, Recall +90",Media,Sistemas de captura con ruido de medición o errores de digitación,Clasificación errónea de cuentas críticas; priorización subóptima,"Validación en fuente, robust scaling, winsorización controlada"
Missing Dirigido — Gestión,Fallo Operativo,"Recall +90, F1-macro",Alta,Sistema CRM caído o agente no registra gestiones,Cuentas en +90 días no detectadas; pérdida irrecuperable,"Imputación semántica, alertas CRM, revisión humana obligatoria"
Missing Dirigido — Historial,Fallo Operativo / Datos Nuevos,"Balanced Accuracy, F1 +90",Alta,Clientes nuevos sin historial; migración de sistema ERP,Subestimación de riesgo en clientes nuevos de alto valor,"Modelo de arranque en frío, imputación por segmento, retraining"
Outlier Monto 10x,Outlier / Concentración de Riesgo,"F1-macro, Recall +90",Media,Facturas con montos anormalmente altos (contratos especiales),Errores en grandes cuentas con alto impacto financiero,"Winsorización, revisión manual de montos sobre percentil 99"
Outlier Crítico Combinado,Concentración de Riesgo Extremo,"F1-macro, Recall +90, Precision",Crítica,Clientes con perfil de riesgo extremo acumulado,Impago de deudas grandes sin acción de cobranza oportuna,Revisión humana obligatoria para score > umbral crítico
Drift Temporal,Data Drift / Concept Drift,"F1-macro, Balanced Accuracy",Alta,"Cambio en comportamiento de pago (crisis económica, ciclo)",Modelo obsoleto; priorización basada en patrones desactualizados,Monitoreo mensual PSI; retraining si F1-macro cae >10%
Drift Cartera Crítica Q75,Covariate Drift,"Recall +90, F1-macro",Alta,Concentración en segmento de alto riesgo no representado en entrenamiento,Falsos negativos en cuentas críticas; pérdidas por inacción,Estratificación por segmento en retraining; alertas PSI > 0.2
Inputs Fuera de Rango,Fallo de Integración / Validación,Estabilidad del pipeline,Crítica,"Bug en ETL, cambio de escala en ERP, datos corruptos",Pipeline falla en producción; sistema de cobranza no opera,Validadores de rango antes de inferencia; contratos de datos
Volumen 100x,Escalabilidad / Latencia,Latencia de predicción,Media,Crecimiento explosivo de cartera o procesamiento en batch grande,Retraso en priorización; agentes sin lista de trabajo a tiempo,"Inferencia batch asíncrona, escalado horizontal, caché de predicciones"
Columna Predictora Faltante,Fallo de Integración,F1-macro (o fallo total),Alta,Cambio de schema en fuente de datos; renombrado de columnas,Sistema falla silenciosamente; predicciones erróneas,Schema validation en ingestión; contratos de API de datos
