model,fairness_col,metric,max_group,max_value,min_group,min_value,gap
Logistic Regression,sector_dominante,accuracy,servicios,0.608696,construccion,0.549563,0.059133
Logistic Regression,sector_dominante,balanced_accuracy,servicios,0.651929,tecnologia,0.563049,0.088879
Logistic Regression,sector_dominante,f1_macro,servicios,0.625193,retail,0.537609,0.087584
Logistic Regression,sector_dominante,worst_class_recall,construccion,0.471074,manufactura,0.266667,0.204408
Logistic Regression,tiene_garantia,accuracy,1,0.620857,0,0.542423,0.078434
Logistic Regression,tiene_garantia,balanced_accuracy,1,0.601848,0,0.58437,0.017479
Logistic Regression,tiene_garantia,f1_macro,1,0.594598,0,0.547966,0.046632
Logistic Regression,tiene_garantia,worst_class_recall,1,0.433437,0,0.383146,0.05029
Logistic Regression,tiene_disputa_activa,accuracy,1,0.613577,0,0.56206,0.051517
Logistic Regression,tiene_disputa_activa,balanced_accuracy,1,0.659873,0,0.590825,0.069048
Logistic Regression,tiene_disputa_activa,f1_macro,0,0.563737,1,0.499293,0.064444
Logistic Regression,tiene_disputa_activa,worst_class_recall,1,0.4,0,0.388102,0.011898
